experiment_id,agent_type,outcome,duration_s,inconsistencies_count,strategies_used,seed,failure_rate
A-0.00-001,baseline,success,3.04,0,,42,0.0
A-0.00-002,baseline,success,2.67,0,,43,0.0
A-0.00-003,baseline,success,3.29,0,,44,0.0
A-0.00-004,baseline,success,3.13,0,,45,0.0
A-0.00-005,baseline,success,3.11,0,,46,0.0
A-0.00-006,baseline,success,2.56,0,,47,0.0
A-0.00-007,baseline,success,2.9,0,,48,0.0
A-0.00-008,baseline,success,2.84,0,,49,0.0
A-0.00-009,baseline,success,3.02,0,,50,0.0
A-0.00-010,baseline,success,2.63,0,,51,0.0
A-0.00-011,baseline,success,3.14,0,,52,0.0
A-0.00-012,baseline,success,2.69,0,,53,0.0
A-0.00-013,baseline,success,3.14,0,,54,0.0
A-0.00-014,baseline,failure,1.83,0,,55,0.0
A-0.00-015,baseline,success,2.74,0,,56,0.0
A-0.00-016,baseline,success,2.85,0,,57,0.0
A-0.00-017,baseline,success,2.69,0,,58,0.0
A-0.00-018,baseline,failure,1.9,0,,59,0.0
A-0.00-019,baseline,success,3.17,0,,60,0.0
A-0.00-020,baseline,success,2.84,0,,61,0.0
B-0.00-001,playbook,success,3.25,0,,42,0.0
B-0.00-002,playbook,success,3.33,0,,43,0.0
B-0.00-003,playbook,success,2.71,0,,44,0.0
B-0.00-004,playbook,success,2.76,0,,45,0.0
B-0.00-005,playbook,success,2.95,0,,46,0.0
B-0.00-006,playbook,success,3.07,0,,47,0.0
B-0.00-007,playbook,success,3.27,0,,48,0.0
B-0.00-008,playbook,success,2.92,0,,49,0.0
B-0.00-009,playbook,success,3.18,0,,50,0.0
B-0.00-010,playbook,failure,1.82,0,,51,0.0
B-0.00-011,playbook,failure,2.48,0,,52,0.0
B-0.00-012,playbook,success,5.17,0,,53,0.0
B-0.00-013,playbook,success,3.41,0,,54,0.0
B-0.00-014,playbook,success,2.54,0,,55,0.0
B-0.00-015,playbook,success,3.17,0,,56,0.0
B-0.00-016,playbook,failure,4.81,0,,57,0.0
B-0.00-017,playbook,failure,1.22,0,,58,0.0
B-0.00-018,playbook,success,2.98,0,,59,0.0
B-0.00-019,playbook,success,4.6,0,,60,0.0
B-0.00-020,playbook,success,4.48,0,,61,0.0
A-0.01-001,baseline,success,3.51,0,,62,0.01
A-0.01-002,baseline,success,5.19,0,,63,0.01
A-0.01-003,baseline,success,3.61,0,,64,0.01
A-0.01-004,baseline,success,4.25,0,,65,0.01
A-0.01-005,baseline,failure,2.39,0,,66,0.01
A-0.01-006,baseline,success,2.91,0,,67,0.01
A-0.01-007,baseline,success,4.42,0,,68,0.01
A-0.01-008,baseline,failure,1.22,0,,69,0.01
A-0.01-009,baseline,success,3.27,0,,70,0.01
A-0.01-010,baseline,failure,5.19,0,,71,0.01
A-0.01-011,baseline,failure,2.02,0,,72,0.01
A-0.01-012,baseline,success,4.16,0,,73,0.01
A-0.01-013,baseline,success,3.22,0,,74,0.01
A-0.01-014,baseline,success,4.58,0,,75,0.01
A-0.01-015,baseline,success,5.66,0,,76,0.01
A-0.01-016,baseline,failure,3.28,1,,77,0.01
A-0.01-017,baseline,success,3.83,0,,78,0.01
A-0.01-018,baseline,success,4.21,0,,79,0.01
A-0.01-019,baseline,success,5.35,0,,80,0.01
A-0.01-020,baseline,success,3.38,0,,81,0.01
B-0.01-001,playbook,success,3.63,0,,62,0.01
B-0.01-002,playbook,success,3.99,0,,63,0.01
B-0.01-003,playbook,success,4.15,0,,64,0.01
B-0.01-004,playbook,success,2.75,0,,65,0.01
B-0.01-005,playbook,success,3.59,0,,66,0.01
B-0.01-006,playbook,success,4.29,0,,67,0.01
B-0.01-007,playbook,success,2.82,0,,68,0.01
B-0.01-008,playbook,failure,2.34,0,,69,0.01
B-0.01-009,playbook,success,5.38,0,,70,0.01
B-0.01-010,playbook,success,13.97,0,,71,0.01
B-0.01-011,playbook,success,4.39,0,,72,0.01
B-0.01-012,playbook,success,5.02,0,,73,0.01
B-0.01-013,playbook,success,5.61,0,,74,0.01
B-0.01-014,playbook,success,4.34,0,,75,0.01
B-0.01-015,playbook,failure,2.72,1,,76,0.01
B-0.01-016,playbook,success,4.01,0,,77,0.01
B-0.01-017,playbook,success,3.87,0,,78,0.01
B-0.01-018,playbook,success,4.09,0,,79,0.01
B-0.01-019,playbook,success,4.16,0,,80,0.01
B-0.01-020,playbook,success,4.98,0,,81,0.01
A-0.03-001,baseline,success,3.15,0,,82,0.03
A-0.03-002,baseline,failure,3.8,0,,83,0.03
A-0.03-003,baseline,failure,7.68,1,,84,0.03
A-0.03-004,baseline,failure,3.56,0,,85,0.03
A-0.03-005,baseline,success,3.35,0,,86,0.03
A-0.03-006,baseline,failure,4.69,1,,87,0.03
A-0.03-007,baseline,success,2.95,0,,88,0.03
A-0.03-008,baseline,success,4.47,0,,89,0.03
A-0.03-009,baseline,success,4.37,0,,90,0.03
A-0.03-010,baseline,success,3.93,0,,91,0.03
A-0.03-011,baseline,success,3.89,0,,92,0.03
A-0.03-012,baseline,failure,5.2,0,,93,0.03
A-0.03-013,baseline,failure,3.01,0,,94,0.03
A-0.03-014,baseline,success,5.2,0,,95,0.03
A-0.03-015,baseline,success,3.24,0,,96,0.03
A-0.03-016,baseline,success,4.36,0,,97,0.03
A-0.03-017,baseline,failure,2.12,0,,98,0.03
A-0.03-018,baseline,success,2.9,0,,99,0.03
A-0.03-019,baseline,success,3.06,0,,100,0.03
A-0.03-020,baseline,success,2.84,0,,101,0.03
B-0.03-001,playbook,success,3.1,0,,82,0.03
B-0.03-002,playbook,success,3.33,0,,83,0.03
B-0.03-003,playbook,success,5.37,0,,84,0.03
B-0.03-004,playbook,success,3.1,0,,85,0.03
B-0.03-005,playbook,success,3.22,0,,86,0.03
B-0.03-006,playbook,success,2.92,0,,87,0.03
B-0.03-007,playbook,success,3.27,0,,88,0.03
B-0.03-008,playbook,success,3.07,0,,89,0.03
B-0.03-009,playbook,success,2.85,0,,90,0.03
B-0.03-010,playbook,failure,1.94,0,,91,0.03
B-0.03-011,playbook,failure,1.64,0,,92,0.03
B-0.03-012,playbook,success,3.34,0,,93,0.03
B-0.03-013,playbook,success,3.04,0,,94,0.03
B-0.03-014,playbook,success,3.04,0,,95,0.03
