experiment_id,agent_type,outcome,duration_s,inconsistencies_count,strategies_used,seed,failure_rate
BASE-42,baseline,inconsistent,4.61,1,none,42,0.1
PLAY-42,playbook,success,14.42,0,none,42,0.1
BASE-43,baseline,success,5.42,0,none,43,0.1
PLAY-43,playbook,success,7.97,0,none,43,0.1
BASE-44,baseline,success,4.52,0,none,44,0.1
PLAY-44,playbook,success,10.83,0,none,44,0.1
BASE-45,baseline,inconsistent,4.38,1,none,45,0.1
PLAY-45,playbook,success,4.53,0,none,45,0.1
BASE-46,baseline,success,4.52,0,none,46,0.1
PLAY-46,playbook,success,4.53,0,none,46,0.1
